,name,count,gbr_id,ofac_id
359,Oman ROCHMAN,2,13518,21388
360,Ahmad-Reza RADAN,2,11785,12251
361,Naif Hassan S. ALARIFI,2,13863,26079
362,Muhammad IBRAHIM,2,13452,21165
363,Bashar Sabawi Ibrahim Hasan AL-TIKRITI,2,8697,9353
364,Husam Muhammad Amin AL-YASSIN,2,7600,7876
365,Said BAHAJI,2,7059,7264
366,Sergei Andreevich DANILENKO,2,13805,28351
367,Azzam Abdullah Zureik Al-Maulid AL-SUBHI,2,13127,15270
368,Shafi Sultan Mohammed AL-AJMI,2,13135,17174
369,Sergey Gennadevich TSYPLAKOV,2,12963,18655
370,Heydar MOSLEHI,2,12202,12255
371,Saif-al-Din AL-MASHHADANI,2,7585,7888
372,Andrei Nikolaevich RODKIN,2,13097,19030
373,Monir CHOUKA,2,12500,13058
374,Abdollah ARAGHI,2,11779,12945
375,Sajida Khayrallah TILFAH,2,8259,8198
376,Kamel DJERMANE,2,8352,8220
377,Amr ARMANAZI,2,13024,15488
378,Oleksandr Viktorovych YANUKOVYCH,2,12896,16721
379,Valentina Ivanovna MATVIYENKO,2,12943,16660
380,Mounir EL MOTASSADEQ,2,7124,7266
381,Muhammad Sholeh IBRAHIM,2,13354,18621
382,Radulan SAHIRON,2,8788,9584
383,Rana Saddam Hussein AL-TIKRITI,2,8254,8193
384,Watban Ibrahim Hassan AL-TIKRITI,2,7611,7879
385,Aziz Salih AL-NUMAN,2,7589,7850
386,Anjem CHOUDARY,2,13714,21731
387,Fazal RAHIM,2,12555,12923
388,Omar Sabawi Ibrahim Hasan AL-TIKRITI,2,8694,9330
389,Fazl RABI,2,12455,12797
390,Maalim SALMAN,2,13147,17284
391,Vladimir Vladimirovich NEMTSEV,2,13810,28350
392,Ayman Sabawi Ibrahim Hasan AL-TIKRITI,2,8695,9331
393,Ali AL-ZAFIR,2,13398,20965
394,Larisa Anatolievna LITVINOVA,2,13865,16393
395,Zaki-ur-Rehman LAKHVI,2,9216,10690
396,Saifi AMMARI,2,7890,8104
397,Nayif Salih Salim AL-QAYSI,2,13449,19891
398,Qusay MIHOUB,2,12713,17326
399,Abdelkarim Hussein Mohamed AL-NASSER,2,7008,6919
400,Godwin MATANGA,2,14054,9443
401,Mansour Fadlallah AZZAM,2,12505,15222
402,Muthanna Harith AL-DARI,2,11052,11493
403,Ali GHANEM,2,13399,20964
404,Roodi SLEWA,2,8384,8231
405,John NUMBI,2,13436,20420
406,Celestin KANYAMA,2,13435,20050
407,Ali Abdullah SALEH,2,13192,17387
408,Evgeniy Petrovich GRABCHAK,2,13522,23546
409,Qusay Saddam Hussein AL-TIKRITI,2,7613,7844
410,Diosdado CABELLO RONDON,2,13586,24424
411,Kifah MOULHEM,2,12222,30743
412,Igor Olegovich KOSTYUKOV,2,13748,21330
413,Thomas LUBANGA,2,8738,11974
414,Amir ABDULLAH,2,11205,12128
415,Mohammed Abdel-Halim Hemaida SALEH,2,13320,17280
416,Noor Barzan Ibrahim Hasan AL-TIKRITI,2,8252,8191
417,Rafael Ramon BLANCO MARRERO,2,13792,27041
418,Yasser Hussein IBRAHIM,2,14072,29462
419,Ibrahim Sabawi Ibrahim Hasan AL-TIKRITI,2,8696,9332
420,Alexander KHRYAKOV,2,13012,17188
421,Bilal BIN MARWAN,2,7099,6945
422,Boris Borisovich KIBIS,2,13868,19268
423,Stanislas NZEYIMANA,2,10674,11391
424,Abdullah Yahya AL HAKIM,2,13190,17386
425,Djamel MOUSTFA,2,7860,7944
